frame;t;x;y;Feeder
0;0;0,005;0,001;OUT
1;0,033;0,005;0,001;OUT
2;0,067;0,004;0,002;OUT
3;0,1;0,004;0,002;OUT
4;0,133;0,004;0,002;C
5;0,167;0,004;0,002;C
6;0,2;0,004;0,002;C
7;0,234;0,004;0,002;C
8;0,267;0,004;0,002;C
9;0,3;0,004;0,002;C
10;0,334;0,004;0,002;C
11;0,367;0,004;0,002;C
12;0,4;0,004;0,002;C
13;0,434;0,004;0,002;C
14;0,467;0,004;0,002;C
15;0,501;0,004;0,002;C
16;0,534;0,004;0,002;C
17;0,567;0,003;0,002;C
18;0,601;0,003;0,002;C
19;0,634;0,003;0,002;C
20;0,667;0,003;0,002;C
21;0,701;0,003;0,002;C
22;0,734;0,003;0,002;C
23;0,767;0,003;0,002;C
24;0,801;0,003;0,002;C
25;0,834;0,003;0,002;C
26;0,868;0,003;0,002;C
27;0,901;0,003;0,002;C
28;0,934;0,003;0,002;C
29;0,968;0,003;0,002;C
30;1,001;0,003;0,001;C
31;1,034;0,003;0,001;C
32;1,068;0,003;0,001;C
33;1,101;0,003;0,001;C
34;1,134;0,003;0,001;C
35;1,168;0,003;0,001;C
36;1,201;0,003;0,001;C
37;1,235;0,003;0,001;C
38;1,268;0,003;0,001;C
39;1,301;0,003;0,001;C
40;1,335;0,003;0,001;C
41;1,368;0,003;0,001;C
42;1,401;0,003;0,001;C
43;1,435;0,003;0,001;C
44;1,468;0,003;0,001;C
45;1,502;0,003;0,001;C
46;1,535;0,003;0,001;C
47;1,568;0,003;0,001;C
48;1,602;0,003;0,001;C
49;1,635;0,005;0,001;C
50;1,668;0,002;0,003;OUT
51;1,702;0,002;0,003;OUT
52;1,735;0,002;0,005;OUT
53;1,768;0,002;0,004;OUT
54;1,802;0,002;0,004;OUT
55;1,835;0,002;0,004;OUT
56;1,869;0,002;0,004;OUT
57;1,902;0,002;0,004;OUT
58;1,935;0,002;0,004;OUT
59;1,969;0,002;0,004;OUT
60;2,002;0,002;0,004;OUT
61;2,035;0,002;0,004;OUT
62;2,069;0,002;0,004;OUT
63;2,102;0,002;0,004;OUT
64;2,135;0,002;0,004;OUT
65;2,169;0,002;0,004;OUT
66;2,202;0,002;0,004;OUT
67;2,236;0,002;0,004;OUT
68;2,269;0,002;0,004;OUT
69;2,302;0,002;0,004;OUT
70;2,336;0,002;0,004;OUT
71;2,369;0,002;0,004;OUT
72;2,402;0,002;0,004;OUT
73;2,436;0,002;0,004;OUT
74;2,469;0;0,003;OUT
75;2,503;0,002;0,002;OUT
76;2,536;0,002;0,003;OUT
77;2,569;0,002;0,003;OUT
78;2,603;0,002;0,003;OUT
79;2,636;0,002;0,003;OUT
80;2,669;0,002;0,003;OUT
81;2,703;0,002;0,003;OUT
82;2,736;0,002;0,003;OUT
83;2,769;0,002;0,003;OUT
84;2,803;0,003;0,001;OUT
85;2,836;0,003;0,001;OUT
86;2,87;0,003;0;OUT
87;2,903;0,003;0;OUT
88;2,936;0,002;0;C
89;2,97;0,002;0;C
90;3,003;0,002;0;C
91;3,036;0,002;0;C
92;3,07;0,002;0;C
93;3,103;0,002;0;C
94;3,136;0,002;0;C
95;3,17;0,002;0;C
96;3,203;0,002;0;C
97;3,237;0,002;0;C
98;3,27;0,002;0;C
99;3,303;0,002;0;C
100;3,337;0,002;0;C
101;3,37;0,002;0;C
102;3,403;0,002;0;C
103;3,437;0,002;0;C
104;3,47;0,002;0;C
105;3,504;0,002;0;C
106;3,537;0,002;0;C
107;3,57;0,002;0;C
108;3,604;0,002;0;C
109;3,637;0,002;0;C
110;3,67;0,002;0;C
111;3,704;0,002;0;C
112;3,737;0,002;0;C
113;3,77;0,002;0;C
114;3,804;0,002;0;C
115;3,837;0,002;0;C
116;3,871;0,002;0;C
117;3,904;0,002;0;C
118;3,937;0,002;0;C
119;3,971;0,002;0;C
120;4,004;0,002;0;C
121;4,037;0,002;0;C
122;4,071;0,002;0;C
123;4,104;0,002;0;C
124;4,137;0,002;0;C
125;4,171;0,002;0;C
126;4,204;0,002;0;C
127;4,238;0,002;0;C
128;4,271;0,002;0;C
129;4,304;0,002;0;C
130;4,338;0,002;0;C
131;4,371;0,002;0;C
132;4,404;0,002;0;C
133;4,438;0,002;0;C
134;4,471;0,002;0;C
135;4,505;0,002;0;C
136;4,538;0,002;0;C
137;4,571;0,002;0;C
138;4,605;0,002;0;C
139;4,638;0,002;0;C
140;4,671;0,002;0;C
141;4,705;0,002;0;C
142;4,738;0,002;0;C
143;4,771;0,002;0;C
144;4,805;0,002;0;C
145;4,838;0,002;0;C
146;4,872;0,002;0;C
147;4,905;0,002;0;C
148;4,938;0,002;0;C
149;4,972;0,002;0;C
150;5,005;0,002;0;C
151;5,038;0,002;0;C
152;5,072;0,002;0;C
153;5,105;0,002;0;C
154;5,138;0,002;0;C
155;5,172;0,002;0;C
156;5,205;0,002;0;C
157;5,239;0,002;0;C
158;5,272;0,002;0;C
159;5,305;0,002;0;C
160;5,339;0,002;0;C
161;5,372;0,002;0;C
162;5,405;0,002;0;C
163;5,439;0,002;0;C
164;5,472;0,002;0;C
165;5,506;0,002;0;C
166;5,539;0,002;0;C
167;5,572;0,002;0;C
168;5,606;0,002;0;C
169;5,639;0,002;0;C
170;5,672;0,002;0;C
171;5,706;0,002;0;C
172;5,739;0,002;0;C
173;5,772;0,002;0;C
174;5,806;0,002;0;C
175;5,839;0,002;0;C
176;5,873;0,002;0;C
177;5,906;0,002;0;C
178;5,939;0,002;0;C
179;5,973;0,002;0;C
180;6,006;0,002;0;C
181;6,039;0,002;0;C
182;6,073;0,002;0;C
183;6,106;0,002;0;C
184;6,139;0,002;0;C
185;6,173;0,002;0;C
186;6,206;0,003;0,001;C
187;6,24;0,003;0,001;C
188;6,273;0,003;0,001;C
189;6,306;0,003;0,001;C
190;6,34;0,003;0,001;C
191;6,373;0,003;0,001;C
192;6,406;0,003;0,001;C
193;6,44;0,003;0,001;C
194;6,473;0,003;0,001;C
195;6,507;0,003;0,001;C
196;6,54;0,003;0,001;C
197;6,573;0,003;0,001;C
198;6,607;0,003;0,001;C
199;6,64;0,003;0,001;C
200;6,673;0,003;0,001;C
201;6,707;0,003;0,001;C
202;6,74;0,003;0,001;C
203;6,773;0,003;0,001;C
204;6,807;0,003;0,001;C
205;6,84;0,003;0,001;C
206;6,874;0,003;0,001;C
207;6,907;0,003;0,001;C
208;6,94;0,003;0,001;C
