t;x;y;frame;Feeder;Commets
0,000000000E0;-9,919319424E0;1,051503375E0;0,000000000E0;A;
3,336670003E-2;-9,770080464E0;9,768838943E-1;1,000000000E0;A;
6,673340007E-2;-9,770080464E0;9,768838943E-1;2,000000000E0;A;
1,001001001E-1;-9,732770723E0;8,649546740E-1;3,000000000E0;A;
1,334668001E-1;-9,770080464E0;7,903351937E-1;4,000000000E0;A;
1,668335002E-1;-9,807390204E0;9,022644141E-1;5,000000000E0;A;
2,002002002E-1;-9,770080464E0;9,022644141E-1;6,000000000E0;A;
2,335669002E-1;-9,583531763E0;9,395741542E-1;7,000000000E0;A;
2,669336003E-1;-9,471602543E0;1,088813115E0;8,000000000E0;A;
3,003003003E-1;-9,471602543E0;1,088813115E0;9,000000000E0;A;
3,336670003E-1;-9,471602543E0;1,088813115E0;1,000000000E1;A;
3,670337004E-1;-9,471602543E0;1,088813115E0;1,100000000E1;A;
4,004004004E-1;-9,434292802E0;1,163432595E0;1,200000000E1;A;
4,337671004E-1;-9,434292802E0;1,126122855E0;1,300000000E1;A;
4,671338005E-1;-8,837336960E0;1,200742335E0;1,400000000E1;A;
5,005005005E-1;-8,464239559E0;1,275361815E0;1,500000000E1;A;
5,338672005E-1;-8,426929819E0;1,312671555E0;1,600000000E1;A;
5,672339006E-1;-7,904593457E0;1,238052075E0;1,700000000E1;A;
6,006006006E-1;-7,941903197E0;1,238052075E0;1,800000000E1;A;
6,339673006E-1;-7,941903197E0;1,238052075E0;1,900000000E1;A;
6,673340007E-1;-8,016522678E0;1,051503375E0;2,000000000E1;A;
7,007007007E-1;-8,203071378E0;8,649546740E-1;2,100000000E1;A;
7,340674007E-1;-8,027560142E0;9,654480704E-1;2,200000000E1;A;
7,674341008E-1;-7,968369794E0;9,802456574E-1;2,300000000E1;A;
8,008008008E-1;-7,879584272E0;1,054233593E0;2,400000000E1;A;
8,341675008E-1;-7,776001163E0;1,054233593E0;2,500000000E1;A;
8,675342009E-1;-7,894381859E0;9,210553093E-1;2,600000000E1;A;
9,009009009E-1;-7,953572207E0;9,210553093E-1;2,700000000E1;A;
9,342676009E-1;-7,968369794E0;9,062577222E-1;2,800000000E1;A;
9,676343010E-1;-7,968369794E0;9,062577222E-1;2,900000000E1;A;
1,001001001E0;-8,012762555E0;8,914601352E-1;3,000000000E1;A;
1,034367701E0;-8,042357729E0;9,506504833E-1;3,100000000E1;A;
1,067734401E0;-8,057155317E0;1,009840831E0;3,200000000E1;A;
1,101101101E0;-8,012762555E0;9,654480704E-1;3,300000000E1;A;
1,134467801E0;-7,997964968E0;1,009840831E0;3,400000000E1;A;
1,167834501E0;-8,071952904E0;9,210553093E-1;3,500000000E1;A;
1,201201201E0;-8,071952904E0;9,210553093E-1;3,600000000E1;A;
1,234567901E0;-8,145940839E0;9,062577222E-1;3,700000000E1;A;
1,267934601E0;-8,145940839E0;9,062577222E-1;3,800000000E1;A;
1,301301301E0;-8,145940839E0;9,062577222E-1;3,900000000E1;A;
1,334668001E0;-8,145940839E0;9,062577222E-1;4,000000000E1;A;
1,368034701E0;-8,101548078E0;8,766625482E-1;4,100000000E1;A;
1,401401401E0;-8,116345665E0;8,470673741E-1;4,200000000E1;A;
1,434768101E0;-8,308714296E0;9,210553093E-1;4,300000000E1;A;
1,468134801E0;-8,160738426E0;8,914601352E-1;4,400000000E1;A;
1,501501502E0;-8,175536013E0;8,766625482E-1;4,500000000E1;A;
1,534868202E0;-8,205131187E0;8,618649611E-1;4,600000000E1;A;
1,568234902E0;-8,205131187E0;9,062577222E-1;4,700000000E1;A;
1,601601602E0;-8,219928774E0;8,914601352E-1;4,800000000E1;A;
1,634968302E0;-8,575070863E0;7,582818519E-1;4,900000000E1;A;
1,668335002E0;-9,285355040E0;5,955083945E-1;5,000000000E1;A;
1,701701702E0;-9,818068174E0;6,990915037E-1;5,100000000E1;A;
1,735068402E0;-1,029159096E1;5,659132204E-1;5,200000000E1;A;
1,768435102E0;-1,061713787E1;6,546987426E-1;5,300000000E1;A;
1,801801802E0;-1,080950650E1;8,322697870E-1;5,400000000E1;A;
1,835168502E0;-1,095748238E1;9,062577222E-1;5,500000000E1;A;
1,868535202E0;-1,092788720E1;9,062577222E-1;5,600000000E1;A;
1,901901902E0;-1,092788720E1;9,062577222E-1;5,700000000E1;A;
1,935268602E0;-1,091308961E1;9,506504833E-1;5,800000000E1;A;
1,968635302E0;-1,082430409E1;9,654480704E-1;5,900000000E1;A;
2,002002002E0;-1,080950650E1;9,358528963E-1;6,000000000E1;A;
2,035368702E0;-1,070592340E1;9,210553093E-1;6,100000000E1;A;
2,068735402E0;-1,063193546E1;9,358528963E-1;6,200000000E1;A;
2,102102102E0;-1,063193546E1;9,358528963E-1;6,300000000E1;A;
2,135468802E0;-1,060234029E1;8,766625482E-1;6,400000000E1;A;
2,168835502E0;-1,052835235E1;8,470673741E-1;6,500000000E1;A;
2,202202202E0;-1,045436442E1;8,174722000E-1;6,600000000E1;A;
2,235568902E0;-1,043956683E1;8,470673741E-1;6,700000000E1;A;
2,268935602E0;-1,040997165E1;8,618649611E-1;6,800000000E1;A;
2,302302302E0;-1,038037648E1;8,322697870E-1;6,900000000E1;A;
2,335669002E0;-1,030638855E1;6,694963297E-1;7,000000000E1;A;
2,369035702E0;-9,744080238E0;6,842939167E-1;7,100000000E1;A;
2,402402402E0;-9,285355040E0;8,322697870E-1;7,200000000E1;A;
2,435769102E0;-8,915415364E0;8,026746130E-1;7,300000000E1;A;
2,469135802E0;-8,634261211E0;7,286866778E-1;7,400000000E1;A;
2,502502503E0;-8,530678102E0;6,251035686E-1;7,500000000E1;A;
2,535869203E0;-8,456690166E0;5,807108075E-1;7,600000000E1;A;
2,569235903E0;-8,456690166E0;5,511156334E-1;7,700000000E1;A;
2,602602603E0;-8,486285341E0;5,511156334E-1;7,800000000E1;A;
2,635969303E0;-8,486285341E0;5,511156334E-1;7,900000000E1;A;
2,669336003E0;-8,678653972E0;6,399011556E-1;8,000000000E1;A;
2,702702703E0;-8,530678102E0;5,955083945E-1;8,100000000E1;A;
2,736069403E0;-8,560273276E0;5,363180464E-1;8,200000000E1;A;
2,769436103E0;-8,663856385E0;5,067228723E-1;8,300000000E1;A;
2,802802803E0;-8,797034668E0;5,067228723E-1;8,400000000E1;A;
2,836169503E0;-8,767439494E0;5,067228723E-1;8,500000000E1;A;
2,869536203E0;-8,767439494E0;4,623301112E-1;8,600000000E1;A;
2,902902903E0;-8,797034668E0;4,919252853E-1;8,700000000E1;A;
2,936269603E0;-8,797034668E0;4,919252853E-1;8,800000000E1;A;
