t;x;y;frame;Feeder;Comments
0,000000000E0;1,836895586E1;1,543542609E0;0,000000000E0;C;
3,336670003E-2;1,836895586E1;1,543542609E0;1,000000000E0;C;
6,673340007E-2;1,822464608E1;1,471387721E0;2,000000000E0;C;
1,001001001E-1;1,822464608E1;1,218845612E0;3,000000000E0;C;
1,334668001E-1;1,822464608E1;1,218845612E0;4,000000000E0;C;
1,668335002E-1;1,822464608E1;1,218845612E0;5,000000000E0;C;
2,002002002E-1;1,833287841E1;1,291000500E0;6,000000000E0;C;
2,335669002E-1;1,833287841E1;1,291000500E0;7,000000000E0;C;
2,669336003E-1;1,833287841E1;1,291000500E0;8,000000000E0;C;
3,003003003E-1;1,822464608E1;1,327077944E0;9,000000000E0;C;
3,336670003E-1;1,822464608E1;1,327077944E0;1,000000000E1;C;
3,670337004E-1;1,822464608E1;1,074535835E0;1,100000000E1;C;
4,004004004E-1;1,822464608E1;1,074535835E0;1,200000000E1;C;
4,337671004E-1;1,822464608E1;8,580711705E-1;1,300000000E1;C;
4,671338005E-1;1,822464608E1;8,580711705E-1;1,400000000E1;C;
5,005005005E-1;1,822464608E1;8,580711705E-1;1,500000000E1;C;
5,338672005E-1;1,822464608E1;8,580711705E-1;1,600000000E1;C;
5,672339006E-1;1,818856864E1;1,038458391E0;1,700000000E1;C;
6,006006006E-1;1,818856864E1;1,038458391E0;1,800000000E1;C;
6,339673006E-1;1,818856864E1;1,038458391E0;1,900000000E1;C;
6,673340007E-1;1,818856864E1;1,038458391E0;2,000000000E1;C;
7,007007007E-1;1,818856864E1;1,038458391E0;2,100000000E1;C;
7,340674007E-1;1,818856864E1;1,038458391E0;2,200000000E1;C;
7,674341008E-1;1,818856864E1;8,941486146E-1;2,300000000E1;C;
8,008008008E-1;1,818856864E1;8,941486146E-1;2,400000000E1;C;
8,341675008E-1;1,818856864E1;8,941486146E-1;2,500000000E1;C;
8,675342009E-1;1,818856864E1;8,941486146E-1;2,600000000E1;C;
9,009009009E-1;1,818856864E1;8,941486146E-1;2,700000000E1;C;
9,342676009E-1;1,818856864E1;8,941486146E-1;2,800000000E1;C;
