t;x;y;frame;Feeder;Comments
3,403403403E0;1,343271029E0;-1,980989632E0;1,020000000E2;B;
3,436770103E0;9,476148906E-1;-2,030151222E0;1,030000000E2;B;
3,470136803E0;2,593636757E0;-9,757408216E-1;1,040000000E2;OUT;
3,503503504E0;6,226757163E0;-6,170284591E-1;1,050000000E2;OUT;
3,536870204E0;4,788217408E0;1,135788917E0;1,060000000E2;OUT;
3,570236904E0;5,123185174E0;1,424649546E0;1,070000000E2;OUT;
3,603603604E0;5,585293078E0;1,312090645E0;1,080000000E2;OUT;
3,636970304E0;5,585293078E0;1,312090645E0;1,090000000E2;OUT;
3,670337004E0;5,585293078E0;1,312090645E0;1,100000000E2;OUT;
3,703703704E0;5,585293078E0;1,312090645E0;1,110000000E2;OUT;
3,737070404E0;5,585293078E0;1,312090645E0;1,120000000E2;OUT;
3,770437104E0;5,556476118E0;9,221978984E-1;1,130000000E2;OUT;
3,803803804E0;5,556476118E0;9,221978984E-1;1,140000000E2;OUT;
3,837170504E0;5,556476118E0;9,221978984E-1;1,150000000E2;OUT;
3,870537204E0;5,556476118E0;9,221978984E-1;1,160000000E2;OUT;
3,903903904E0;3,049981270E0;-1,166278272E0;1,170000000E2;OUT;
3,937270604E0;1,952518187E0;-1,163569334E0;1,180000000E2;B;
3,970637304E0;1,958281579E0;-1,085590784E0;1,190000000E2;B;
4,004004004E0;1,958281579E0;-1,085590784E0;1,200000000E2;B;
4,037370704E0;2,036260128E0;-1,091354176E0;1,210000000E2;B;
4,070737404E0;2,521421600E0;-8,919988802E-1;1,220000000E2;B;
4,104104104E0;2,498368032E0;-1,203913078E0;1,230000000E2;B;
4,137470804E0;2,498368032E0;-1,203913078E0;1,240000000E2;B;
4,170837504E0;2,570583189E0;-1,287655019E0;1,250000000E2;B;
4,204204204E0;2,559056405E0;-1,443612118E0;1,260000000E2;B;
4,237570904E0;2,559056405E0;-1,443612118E0;1,270000000E2;B;
4,270937604E0;2,559056405E0;-1,443612118E0;1,280000000E2;B;
4,304304304E0;2,319357365E0;-1,504300491E0;1,290000000E2;B;
4,337671004E0;2,313593973E0;-1,582279040E0;1,300000000E2;B;
4,371037704E0;1,839959285E0;-1,625677238E0;1,310000000E2;B;
4,404404404E0;1,839959285E0;-1,625677238E0;1,320000000E2;B;
4,437771104E0;1,839959285E0;-1,625677238E0;1,330000000E2;B;
4,471137804E0;1,839959285E0;-1,625677238E0;1,340000000E2;B;
4,504504505E0;1,839959285E0;-1,625677238E0;1,350000000E2;B;
4,537871205E0;1,839959285E0;-1,625677238E0;1,360000000E2;B;
4,571237905E0;1,839959285E0;-1,625677238E0;1,370000000E2;B;
4,604604605E0;1,839959285E0;-1,625677238E0;1,380000000E2;B;
4,637971305E0;1,761980736E0;-1,619913846E0;1,390000000E2;B;
4,671338005E0;1,761980736E0;-1,619913846E0;1,400000000E2;B;
4,704704705E0;1,317163008E0;-1,273419296E0;1,410000000E2;B;
4,738071405E0;1,380560320E0;-4,156552534E-1;1,420000000E2;B;
4,771438105E0;1,380560320E0;-4,156552534E-1;1,430000000E2;B;
4,804804805E0;1,340216576E0;-9,615050988E-1;1,440000000E2;B;
4,838171505E0;1,340216576E0;-9,615050988E-1;1,450000000E2;B;
4,871538205E0;1,340216576E0;-9,615050988E-1;1,460000000E2;B;
4,904904905E0;1,340216576E0;-9,615050988E-1;1,470000000E2;B;
4,938271605E0;1,328689792E0;-1,117462197E0;1,480000000E2;B;
4,971638305E0;1,484646891E0;-1,128988982E0;1,490000000E2;B;
5,005005005E0;1,484646891E0;-1,128988982E0;1,500000000E2;B;
5,038371705E0;1,484646891E0;-1,128988982E0;1,510000000E2;B;
5,071738405E0;1,478883499E0;-1,206967531E0;1,520000000E2;B;
5,105105105E0;1,473120107E0;-1,284946080E0;1,530000000E2;B;
5,138471805E0;1,473120107E0;-1,284946080E0;1,540000000E2;B;
5,171838505E0;1,473120107E0;-1,284946080E0;1,550000000E2;B;
5,205205205E0;1,395141557E0;-1,279182688E0;1,560000000E2;B;
5,238571905E0;1,473120107E0;-1,284946080E0;1,570000000E2;B;
5,305305305E0;1,478883499E0;-1,206967531E0;1,590000000E2;B;
5,338672005E0;7,275694508E-1;1,357506752E0;1,600000000E2;OUT;
5,372038705E0;5,916114669E-1;2,700432267E0;1,610000000E2;OUT;
5,405405405E0;4,356543682E-1;2,711959051E0;1,620000000E2;OUT;
5,438772105E0;2,681704855E-1;2,567528736E0;1,630000000E2;OUT;
5,472138805E0;2,681704855E-1;2,567528736E0;1,640000000E2;OUT;
5,505505506E0;2,681704855E-1;2,567528736E0;1,650000000E2;OUT;
5,538872206E0;8,082569389E-1;2,449206443E0;1,660000000E2;OUT;
5,572238906E0;8,082569389E-1;2,449206443E0;1,670000000E2;OUT;
5,605605606E0;8,082569389E-1;2,449206443E0;1,680000000E2;OUT;
5,638972306E0;8,082569389E-1;2,449206443E0;1,690000000E2;OUT;
5,672339006E0;8,082569389E-1;2,449206443E0;1,700000000E2;OUT;
5,705705706E0;1,264601451E0;2,258668992E0;1,710000000E2;OUT;
5,739072406E0;4,334927350E0;3,068418344E-1;1,720000000E2;OUT;
5,772439106E0;4,609206742E0;8,354015038E-1;1,730000000E2;OUT;
5,805805806E0;6,558670475E0;6,913167037E-1;1,740000000E2;OUT;
5,839172506E0;6,558670475E0;6,913167037E-1;1,750000000E2;OUT;
5,872539206E0;6,558670475E0;6,913167037E-1;1,760000000E2;OUT;
5,905905906E0;6,558670475E0;6,913167037E-1;1,770000000E2;OUT;
5,939272606E0;5,845336747E0;5,872301331E-1;1,780000000E2;OUT;
5,972639306E0;6,223702710E0;4,024560744E-1;1,790000000E2;OUT;
6,006006006E0;6,223702710E0;4,024560744E-1;1,800000000E2;OUT;
6,039372706E0;6,223702710E0;4,024560744E-1;1,810000000E2;OUT;
6,072739406E0;6,223702710E0;4,024560744E-1;1,820000000E2;OUT;
